Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
508390,CIM,Càmera mòbil,208,Mastil,8,Nou Barris,48,la Guineueta,431067790,4587775007,2.1748789,41.4385895,2018-08-02T00:00:00Z
508391,CIM,Càmera mòbil,209,Mastil,8,Nou Barris,45,Porta,431850984,4587508721,2.1842829,41.4362584,2018-08-02T00:00:00Z
508392,CIM,Càmera mòbil,210,Mastil,8,Nou Barris,52,la Prosperitat,431613351,4587809532,2.1814048,41.4389472,2018-10-02T00:00:00Z
508393,CIM,Càmera mòbil,211,Mastil,7,Horta-Guinardó,35,el Guinardó,431272227,4586160915,2.1775093,41.4240691,2018-11-02T00:00:00Z
508394,CIM,Càmera mòbil,212,Mastil,8,Nou Barris,44,Vilapicina i la Torre Llobeta,431276255,4586859117,2.1774782,41.4303586,2018-10-15T00:00:00Z
511321,CIF,Càmera fixa,215,Baculo,10,Sant Martí,70,el Besòs i el Maresme,433869116,4585042344,2.2087067,41.4142129,2019-12-16T00:00:00Z
511753,DOMO,Càmera mòbil,11,Baculo,5,Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,429329561,4582978460,2.1546348,41.3952377,2000-01-01T00:00:00Z
513841,DOMO,Càmera mòbil,96,Baculo,2,Eixample,8,l'Antiga Esquerra de l'Eixample,429562910,4582401610,2.1574929,41.3900629,2021-04-15T00:00:00Z
516294,DOMO,Càmera mòbil,42,Baculo,2,Eixample,8,l'Antiga Esquerra de l'Eixample,429567932,4582370570,2.1575565,41.3897835,2020-12-15T00:00:00Z
520195,CIM,Càmera mòbil,38,Baculo,3,Sants-Montjuïc,13,la Marina de Port,427760029,4579490945,2.1362777,41.3636878,2022-12-27T00:00:00Z
