"idClienteEprinsa","AñoMes","Identificador","NumLámparasTotal","NumLámparasMercurio","NumLámparasHalogenuros","NumLámparasFluorescentes","NumLámparasSodio","NumLámparasLED","NumLámparasOtros","Tipo","Dirección","Descripción","CoordenadaX","CoordenadaY"
"1009","202406","NDA.ENE.007.1814631","955","0","917","0","0","38","0","Halogenuros","Calle Real {Hoyo}, 28","Puntos de luz - BELMEZ  - idSig: 1814631","299246","4235621"
"1009","202406","NDA.ENE.007.1814080","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814080","307434","4237981"
"1009","202406","NDA.ENE.007.1814371","955","0","917","0","0","38","0","Halogenuros","Calle Calvario, 41","Puntos de luz - BELMEZ  - idSig: 1814371","307112","4238602"
"1009","202406","NDA.ENE.007.1814815","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 26","Puntos de luz - BELMEZ  - idSig: 1814815","306900","4237846"
"1009","202406","NDA.ENE.007.1814037","955","0","917","0","0","38","0","Halogenuros","Calle Río, 42","Puntos de luz - BELMEZ  - idSig: 1814037","306701","4238078"
"1009","202406","NDA.ENE.007.1814614","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814614","306967","4237660"
"1009","202406","NDA.ENE.007.1814697","955","0","917","0","0","38","0","Halogenuros","Calle Velázquez {Doña Rama}, 36","Puntos de luz - BELMEZ  - idSig: 1814697","300917","4232931"
"1009","202406","NDA.ENE.007.1814068","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814068","307348","4238046"
"1009","202406","NDA.ENE.007.1814101","955","0","917","0","0","38","0","LED","","Puntos de luz - BELMEZ  - idSig: 1814101","307303","4238292"
"1009","202406","NDA.ENE.007.1814779","955","0","917","0","0","38","0","Halogenuros","Calle Santa María, 74","Puntos de luz - BELMEZ  - idSig: 1814779","306349","4238428"
"1009","202406","NDA.ENE.007.1814598","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814598","307279","4238010"
"1009","202406","NDA.ENE.007.1814605","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814605","307279","4238044"
"1009","202406","NDA.ENE.007.1814693","955","0","917","0","0","38","0","Halogenuros","Calle Velázquez {Doña Rama}, 13","Puntos de luz - BELMEZ  - idSig: 1814693","301024","4232912"
"1009","202406","NDA.ENE.007.1814800","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 6","Puntos de luz - BELMEZ  - idSig: 1814800","306881","4237979"
"1009","202406","NDA.ENE.007.1814142","955","0","917","0","0","38","0","Halogenuros","Calle Pedroche, 1","Puntos de luz - BELMEZ  - idSig: 1814142","306768","4238348"
"1009","202406","NDA.ENE.007.1814292","955","0","917","0","0","38","0","Halogenuros","Calle Bailén, 2","Puntos de luz - BELMEZ  - idSig: 1814292","307006","4238126"
"1009","202406","NDA.ENE.007.1814129","955","0","917","0","0","38","0","LED","Calle Peñarroya-Pueblonuevo, 30","Puntos de luz - BELMEZ  - idSig: 1814129","307331","4238174"
