FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d06,65998,APARCABICIS_217,Frente a Carril de los Niños.,"CARRIL DE CASTELL, 23 ",POINT (374793.57398567 4065356.27104485),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d07,65996,APARCABICIS_186,Esquina c/ Mar.,"PLAZA NIÑO DE LAS MORAS, 4 ",POINT (378607.9429513 4064618.04854184),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d08,65999,APARCABICIS_229,Frente a Colegio San Estanislao de Kostka.,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 170 ",POINT (378354.123919688 4064809.95156696),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d09,66061,APARCABICIS_268,A la altura del número 18,"CALLE REAL, 18 ",POINT (378646.371738611 4064839.75493038),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0a,65910,APARCABICIS_242,Junto a entrada de Parking Alcazaba.,"PLAZA DE JESÚS ""EL RICO"", 3 ",POINT (373487.830653682 4065030.10185677),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0b,65975,APARCABICIS_163,Esquina con Cl. Antonio Baena Gómez.,"CALLE ANTONIO BAENA GÓMEZ, 1 ",POINT (372997.758621848 4064588.74237426),,,,,,MUNICIPAL,No,No,20,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0c,65916,APARCABICIS_024,Esq. con Molina Larios,"PLAZA DE LA MARINA, 4 ",POINT (373175.60342804 4064581.88793964),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0d,66049,APARCABICIS_257,A la altura del Paseo de Levante,"PASEO DE LA FAROLA, 21 ",POINT (373683.242554624 4064029.44516644),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0e,65885,APARCABICIS_338,,"CALLE BARROSO, 7 ",POINT (372934.000185537 4064289.00009046),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0f,66105,APARCABICIS_312,Esq. con Cl. Jerez Perchet,"CALLE ALCALDE NICOLÁS MAROTO, 18 ",POINT (373515.036421856 4068009.97112053),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d10,65988,APARCABICIS_206,Junto a Oficina de Turismo.,"PLAZA DE LA MARINA, 11 ",POINT (373151.817951465 4064471.83316786),,,,,,MUNICIPAL,No,No,16,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d11,66005,APARCABICIS_233,Puerta del Conservatorio de Música Manuel Carra.,"AVENIDA DE JACINTO BENAVENTE, 13 ",POINT (372830.699844618 4068077.44835446),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d12,65974,APARCABICIS_051,A la altura del Polideportivo la Mosca,"CALLE EUCALIPTUS, 18 ",POINT (377574.72770875 4065644.0585491),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d13,66000,APARCABICIS_072,Esquina c/ Quiteria.,"CALLE LÁGRIMA, 8 ",POINT (373578.795159725 4067666.21906543),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d14,66085,APARCABICIS_295,Esq. con Cl. Antonio Jiménez Ruiz,"CALLE DIEGO DE VERGARA, 6 ",POINT (371909.095363498 4064989.34593081),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d15,66088,APARCABICIS_298,Esq. Cl. Peinado,"CALLE EDUARDO DOMÍNGUEZ ÁVILA, 19 ",POINT (373063.643026174 4065994.5453474),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d16,66123,APARCABICIS_325,Esq. Plaza Cristo del Amor,"CALLE FERNANDO EL CATÓLICO, 2 ",POINT (373759.647658538 4065765.90348837),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d17,65939,APARCABICIS_034,Esquina con Walt Whitman junto Edificio negro.,"CALLE DEL VOLUNTARIADO MALAGUEÑO, 3 ",POINT (371895.680008419 4064253.62242316),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d18,65976,APARCABICIS_174,Esquina con c/ San Jorge.,"CALLE DUQUE DE RIVAS, 28 ",POINT (372815.449219483 4065719.27270971),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d19,65876,APARCABICIS_328,Esq. C/ Natalia,"CALLE CATALUÑA, 9 ",POINT (372030.999829348 4065111.99978313),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1a,66008,APARCABICIS_185,Esquina Avenida Barcelona.,"CALLE CALZADA DE LA TRINIDAD, 1 ",POINT (372162.228855539 4065292.92673368),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1b,66023,APARCABICIS_220,Junto al Campo de Fútbol,"CALLE LA ARGENTINITA, 6 ",POINT (370903.745543407 4065185.75702395),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1c,66041,APARCABICIS_221,Frente a la Ciudad de la Justicia,"CALLE FISCAL LUIS PORTERO GARCÍA, 11 ",POINT (369549.603975397 4064322.15079086),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1d,66019,APARCABICIS_203,Puerta del Colegio Manolo Garvayo,"CALLE ENCARNACIÓN FONTIVEROS, 4 ",POINT (370702.135740221 4065499.73631764),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1e,65946,APARCABICIS_108,A la altura de la Biblioteca Manuel Altolaguirre,"CALLE CALATRAVA, 8 ",POINT (371584.698464737 4064064.55307772),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1f,65920,APARCABICIS_038,Esquina con c/ Ejido,"PLAZA DEL MAESTRO ARTOLA, 3 ",POINT (373341.153769862 4065767.22849721),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d20,65967,APARCABICIS_092,Esq. con Cl. Antonio Romero,"CALLE FÉLIX CORRALES, 7 ",POINT (371487.494434637 4065294.15946623),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d21,65924,APARCABICIS_160,Esquina con c/ Hilera,"CALLE ARMENGUAL DE LA MOTA, 8 ",POINT (372357.731071217 4064547.80152877),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d22,66092,APARCABICIS_302,Esq. Cl. Armengual de la Mota,"CALLE ARMENGUAL DE LA MOTA, 8 ",POINT (372366.128102983 4064548.65156659),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d23,65954,APARCABICIS_131,Frente c/ Diamantino García Acosta,"CALLE LUIS BARAHONA DE SOTO, 11 ",POINT (370901.565672633 4061793.63174792),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d24,65953,APARCABICIS_130,Frente I.E.S. Emilio Prados,"CALLE LUIS BARAHONA DE SOTO, 18 ",POINT (370749.440589847 4061592.11601545),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d25,65949,APARCABICIS_125,Esquina con Camino de la Térmica,"AVENIDA DE LOS GUINDOS, 46 ",POINT (370761.289603223 4061518.9224333),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d26,65911,APARCABICIS_135,Esquina con Gta. Antonio Molina,"GLORIETA ANTONIO MOLINA, 1 ",POINT (371730.198406006 4062548.64438878),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d27,66036,APARCABICIS_215,Junto aparatos de gimnasia,"GLORIETA ANTONIO MOLINA, 1 ",POINT (371753.465811727 4062585.11647307),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d28,66037,APARCABICIS_216,Glorieta Antonio Molina,"GLORIETA ANTONIO MOLINA, 1 ",POINT (371742.438923765 4062570.74554696),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d29,65907,APARCABICIS_112,Frente al C.E.P Pablo Ruiz Picasso,"CALLE HONDURAS, 6 ",POINT (371839.794827993 4064809.85847611),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d2a,66074,APARCABICIS_284,Esquina con Cl. Miguel Carrera,"CALLE MIGUEL CARRERA, 30 ",POINT (368875.992401043 4065212.61684381),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d2b,66021,APARCABICIS_213,Esq. con Cl. O'donnell,"CALLE JUAN FERNÁNDEZ SÚRIA, 9 ",POINT (371516.26229823 4065014.98788746),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d2c,74268,APARCABICIS_889,"Calle cuarteles, 31","CALLE CUARTELES, 31 ",POINT (372432.731969422 4064042.07035963),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d2d,65986,APARCABICIS_200,Esquina c/ Jacinto Verdaguer.,"CALLE CUARTELES, 49 ",POINT (372316.465114268 4063908.36178713),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d2e,66020,APARCABICIS_212,Esquina con Cl. Martínez de la Rosa,"CALLE MORALES VILLARRUBIA, 26 ",POINT (371521.725712791 4065497.70660764),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d2f,65929,APARCABICIS_064,A la altura del Tintero,"CALLE PLAYA DEL CHANQUETE, 97 ",POINT (379645.624681462 4064291.41588322),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d30,66103,APARCABICIS_240,Esq. con Cl. Alcalde Madorel Perea,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 33 ",POINT (372923.545829494 4067247.17495495),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d31,66053,APARCABICIS_263,A la altura del número 14,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 24 ",POINT (372899.388805964 4066835.64036543),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d32,66007,APARCABICIS_237,Frente a nº 91.,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 91 ",POINT (372972.224041735 4067608.30112001),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d33,66102,APARCABICIS_239,Esq. con Pasaje Alcalde Peña Rodríguez,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 11 ",POINT (372885.602085914 4066971.55273476),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d34,66104,APARCABICIS_309,Esq. Pasaje Francisco Blanca Mora,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 7 ",POINT (372875.190742098 4066914.0069078),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d35,66009,APARCABICIS_188,Junto al Colegio.,"CALLE PLAYA VIRGINIA, 1 ",POINT (379369.739738931 4064494.88227235),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d36,65905,APARCABICIS_148,Esquina con c/ Toril,"CALLE DE LA VEGA, 33 ",POINT (365852.622590118 4059074.67400109),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d37,66006,APARCABICIS_234,Esquina Cl. Doctor Peralta Almagro.,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 41 ",POINT (372938.590724644 4067352.14403824),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d38,66066,APARCABICIS_272,A la altura del número 4,"CALLE DÁNVILA Y COLLADO, 6 ",POINT (378705.186357763 4064615.67082353),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d39,66063,APARCABICIS_270,,"CALLE PALESTINA, 7 ",POINT (371358.579553772 4064550.20244254),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d3a,65951,APARCABICIS_128,Esquina con Cl. Conejito de Málaga,"CALLE CONEJITO DE MÁLAGA, 3 ",POINT (370202.219312344 4062461.42340361),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d3b,66068,APARCABICIS_275,A la altura del número 7,"CALLE MALPICA, 9 ",POINT (372346.525918745 4064186.7621556),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d3c,65985,APARCABICIS_199,Esquina c/ Dos Aceras.,"CALLE REFINO, 28 ",POINT (373180.597099279 4065461.07868531),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d3d,66040,APARCABICIS_204,Junto al CEIP Cayetano Bolívar,"CALLE DEL ROMERO, 2 ",POINT (359701.794433044 4066330.25323826),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d3e,65878,APARCABICIS_330,,"CAMINO DEL CORCEL, 20 ",POINT (371094.999918997 4069707.99981212),,,,,,MUNICIPAL,No,No,5,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d3f,66001,APARCABICIS_080,Esquina Av. Jacinto Benavente.,"GLORIETA JOSÉ GASPAR ANAYA MUÑOZ, 2 ",POINT (372892.008334431 4068074.98286249),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d40,65973,APARCABICIS_047,"Frente a calle Ateneo, nº 106","PASEO MARÍTIMO EL PEDREGAL, 106 ",POINT (377948.034744106 4064570.84700165),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d41,65901,APARCABICIS_059,Esquina con Cl. Padre Lerchundi,"CALLE PRACTICANTE FERNÁNDEZ ALCOLEA, 72 ",POINT (378915.364172418 4064599.44697726),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d42,65919,APARCABICIS_032,Esquina con Plaza del Teatro,"PLAZA DEL TEATRO, 8 ",POINT (373094.21450863 4065125.14400396),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d43,65995,APARCABICIS_176,Esquina c/ Practicante Fernández Alcolea.,"CALLE MAR, 16 ",POINT (378629.004511979 4064673.3403719),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d44,65969,APARCABICIS_173,Esq. con Cl. Árbol Blanco (Biblioteca),"CALLE ÁRBOL BLANCO, 19 ",POINT (365792.606336459 4058840.21857127),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d45,65891,APARCABICIS_010,Esquina con Av.de Cervantes. ,"CALLE ROMA, 2 ",POINT (373675.427274891 4064766.33677073),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d46,66084,APARCABICIS_294,Pl. Pepe Mena,"CALLE OLLERÍAS, 55 ",POINT (372933.427493758 4065411.8176378),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d47,65972,APARCABICIS_045,Esquina con Camino Viejo de Vélez,"CARRETERA DE OLÍAS, 60 ",POINT (379656.448117127 4064896.61224774),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d48,65926,APARCABICIS_054,A la altura del I.E.S. Mediterráneo,"CALLE IDUMEA, 4 ",POINT (379139.18901806 4064873.96248844),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d49,66090,APARCABICIS_301,Esq. Cl. San Lucas Mayor,"CALLE AMARGURA, 58 ",POINT (373982.600710402 4065830.15828001),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d4a,65994,APARCABICIS_165,Esquina con Cl. Pintor Dámaso Ruano.,"CALLE PRACTICANTE FERNÁNDEZ ALCOLEA, 90 ",POINT (378990.050459919 4064590.44411531),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d4b,66015,APARCABICIS_056,Nº 34.,"CALLE MARTÍNEZ FALERO, 34 ",POINT (378898.482837426 4064779.26063043),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d4c,65971,APARCABICIS_044,A la altura de OMAU,"CAMINO DE LA DESVIACIÓN, 18 ",POINT (376429.157013337 4065088.4191086),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d4d,66054,APARCABICIS_261,A la altura del número 31,"CALLE LAS MORERAS, 31 ",POINT (373434.426854267 4067444.87690127),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d4e,65900,APARCABICIS_022,A la altura del Polideportivo Trinidad,"CALLE MALASAÑA, 4 ",POINT (372556.324369685 4065140.29674823),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d4f,66065,APARCABICIS_273,Esquina Plaza Eduardo Dato,"CALLE JOSÉ CANALEJAS, 5 ",POINT (371734.575151902 4065830.95251664),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d50,66119,APARCABICIS_321,,"CALLE MORENO NIETO, 8 ",POINT (371695.739521513 4065883.31725712),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d51,65937,APARCABICIS_015,Frente salida estación.,"CALLE EXPLANADA DE LA ESTACIÓN, 3 ",POINT (372175.097834897 4063902.54060231),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d52,65942,APARCABICIS_104,A la altura del Complejo Deportivo de Carranque,"AVENIDA DE SANTA ROSA DE LIMA, 5 ",POINT (370615.05377645 4064942.80339637),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d53,65898,APARCABICIS_121,A la altura del Estadio de Atletismo.,"AVENIDA ALICIA DE LARROCHA, 2 ",POINT (369728.558214531 4060646.63827353),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d54,66012,APARCABICIS_168,Frente a los jardines,"CALLE DE TESEO, 14 ",POINT (368036.935440061 4064916.59196675),,,,,,MUNICIPAL,No,No,14,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d55,65970,APARCABICIS_037,,"PLAZA EJIDO, 1 ",POINT (373253.294609447 4065635.21065807),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d56,66059,APARCABICIS_267,A la altura del número 26,"CALLE PAQUIRO, 26 ",POINT (368943.794231139 4062499.83130879),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d57,66060,APARCABICIS_266,A la altura del número 14,"CALLE PAQUIRO, 1 ",POINT (369163.768745178 4062545.51328374),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d58,66076,APARCABICIS_278,A la altura del número 1,"PLAZA DE LA LUZ, 1 ",POINT (370191.790192465 4062145.04526407),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d59,66050,APARCABICIS_256,Esquina con Cl. Canales,"CALLE CANALES, 10 ",POINT (372521.094750232 4063791.46393599),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d5a,65950,APARCABICIS_126,En el parque.,"CALLE NIÑO DEL MUSEO, 3 ",POINT (370605.092722249 4062540.27865294),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d5b,66078,APARCABICIS_280,Esquina c/ Niño del Museo,"CALLE NIÑO DEL MUSEO, 14 ",POINT (370574.653942181 4062609.84502381),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d5c,66096,APARCABICIS_306,Esq. Benjamín Franklin,"CALLE DE CRISTÓBAL DE VILLALÓN, 11 ",POINT (370072.539672981 4063725.64322841),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d5d,66087,APARCABICIS_297,Esq. Cl Maestro Pablo Luna,"CALLE SONDALEZAS, 20 ",POINT (371180.72733463 4065399.08435096),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d5e,66097,APARCABICIS_307,Junto a estación de Metro,"CALLE SANTA MARTA, 8 ",POINT (371349.308155672 4063808.66462721),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d5f,65894,APARCABICIS_136,,"CALLE TOMÁS ECHEVERRÍA, 6 ",POINT (371852.999860123 4062970.99980584),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d60,66024,APARCABICIS_110,,"CALLE CONDE DE GUADALHORCE, 17 ",POINT (371156.583622935 4064133.80073022),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d61,65889,APARCABICIS_341,Puerta I.E.S Huelin,"CALLE TOMÁS ECHEVERRÍA, 4 ",POINT (371752.999890219 4063034.00052281),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d62,66080,APARCABICIS_282,A la altura del número 4,"CALLE CRISTOBALINA FERNÁNDEZ, 4 ",POINT (362776.974242561 4065249.68366956),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d63,66116,APARCABICIS_317,Junto a instalaciones deportivas,"CALLE DECANO EDUARDO PALANCA, 6 ",POINT (364791.475461109 4059209.31109273),,,,,,MUNICIPAL,No,No,8,1987
