FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d86,65874,APARCABICIS_326,Esq. Av. Manuel Agustín Heredia,"AVENIDA DE MANUEL AGUSTÍN HEREDIA, 26 ",POINT (372827.99962588 4064042.00037181),,,,,,MUNICIPAL,No,No,5,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d87,65933,APARCABICIS_089,Esquina con c/ Nuestra Señora de los Clarines,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 95 ",POINT (371690.909990416 4066065.42520367),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d88,65923,APARCABICIS_142,Esquina con Cl. Ingeniero José Mª Garnica,"PASEO DE ANTONIO MACHADO, 12 ",POINT (372501.444808986 4063643.80910809),,,,,,MUNICIPAL,No,No,20,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d89,66033,APARCABICIS_195,Esq. con Cl. Gongora,"PASEO DE ANTONIO MACHADO, 36 ",POINT (372350.377761179 4063462.67456873),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d8a,65912,APARCABICIS_004,Esquina con c/ Linaje,"ALAMEDA DE COLÓN, 7 ",POINT (372737.136859349 4064297.45479892),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d8b,66122,APARCABICIS_247,Frente Estación María Zambrano,"CALLE HÉROE DE SOSTOA, 1 ",POINT (372214.472397995 4063850.63003125),,,,,,MUNICIPAL,No,No,34,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d8c,66026,APARCABICIS_205,Esq. con Cl. Virgen de la Cabeza,"CALLE CORREGIDOR FRANCISCO DE MOLINA, 1 ",POINT (370685.803857149 4064088.08301757),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d8d,66107,APARCABICIS_244,Esq. con Av. Carlos Haya,"CALLE PEDRO ESPINOSA, 2 ",POINT (370483.738839199 4065074.72024107),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d8e,65914,APARCABICIS_014,A la altura de la Facultad de económicas,"CALLE EJIDO, 6 ",POINT (373382.696947164 4065615.65115026),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d8f,66079,APARCABICIS_281,Esquina c/ Virgen de Belen,"AVENIDA DE ISAAC PERAL, 21 ",POINT (369892.119541123 4062059.15781861),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d90,66083,APARCABICIS_293,A la altura del números 6-8,"CALLE GUADALETE, 6 ",POINT (371580.305470792 4062722.42058241),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d91,65934,APARCABICIS_090,Frente al Colegio de Gamarra,"CALLE DOCTOR ESCASSI, 4 ",POINT (371421.8716032 4065016.84982353),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d92,66055,APARCABICIS_264,Esquina calle Segismundo Moret,"CALLE MARQUÉS DE OVIECO, 12 ",POINT (371641.317026843 4065741.02885812),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d93,66064,APARCABICIS_271,A la altura del número 3,"CALLE CORREGIDOR PEDRO ZAPATA, 8 ",POINT (370261.731875638 4063853.15555464),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d94,65935,APARCABICIS_091,A la altura del Colegio de Gamarra,"CALLE JOSÉ MARÍA COOPELLO, 30 ",POINT (371487.915982013 4065342.35205667),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d95,66035,APARCABICIS_211,c/ Capulino Jaúregui,"PLAZA DE MURILLO CARRERA, 5 ",POINT (371794.632779552 4063204.00420086),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d96,66082,APARCABICIS_292,A la altura del número 17,"CALLE MAESTRO USANDIZAGA, 15 ",POINT (365607.566715934 4058468.67680525),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d97,65987,APARCABICIS_202,Esquina con Cl. San Rafael.,"CALLE SAN RAFAEL, 6 ",POINT (372718.01312407 4065143.71680667),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d98,66094,APARCABICIS_304,Esq. Cl. Nazareno del Paso,"CALLE NAZARENO DEL PASO, 1 ",POINT (372472.897224138 4064435.98613171),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d99,65932,APARCABICIS_087,Esquina con c/ Blas de Lezo,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 47 ",POINT (371933.983947677 4065851.87188077),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d9a,66111,APARCABICIS_277,Junto a la Agencia Municipal de Asociaciones y del Voluntariado,"CALLE FRANCISCO JIMÉNEZ LOMAS, 11 ",POINT (370849.398175861 4061951.23650411),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d9b,66043,APARCABICIS_253,Frente al nº 76,"AVENIDA DE SALVADOR ALLENDE, 49 ",POINT (378574.989053345 4064612.30241507),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d9c,65983,APARCABICIS_197,Esquina Plaza Francisco Silvela.,"CALLE HURTADO DE MENDOZA, 19 ",POINT (373918.617468931 4065640.13568728),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d9d,65875,APARCABICIS_327,Esq. Cl. Poeta Narciso Franquelo Martínez,"CALLE POETA BERNARDO DE LA TORRE, 6 ",POINT (372260.492724424 4066070.15392991),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d9e,66011,APARCABICIS_166,Biblioteca,"AVENIDA DE EUROPA, 28 ",POINT (370942.578993435 4062892.46235573),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d9f,65947,APARCABICIS_115,Esquina con c/ Virgen de las Flores,"CALLE VIRGEN DE FLORES, 4 ",POINT (371108.879988818 4064609.94264957),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da0,65943,APARCABICIS_105,Esquina con c/ Simeón Jiménez Reyna,"CALLE INGENIERO DE LA TORRE ACOSTA, 5 ",POINT (371515.120192506 4064760.81186239),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da1,66098,APARCABICIS_308,Frente Cl. Compositor Lehmberg Ruiz,"CALLE HILERA, 8 ",POINT (372254.598543426 4064581.60738627),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da2,65890,APARCABICIS_342,,"CALLE LA UNIÓN, 68 ",POINT (371108.999732171 4063589.00022415),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da3,65956,APARCABICIS_137,I.E.S. Sata Bárbara,"AVENIDA DE EUROPA, 153 ",POINT (369515.475275822 4062093.3791773),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da4,65897,APARCABICIS_134,Palacio de Deportes José Mª Martín Carpena,"CALLE MIGUEL DE MÉRIDA NICOLICH, 2 ",POINT (369584.009612477 4060612.61260427),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da5,65906,APARCABICIS_140,Esq. con Cl. Villanueva de Tapia.,"CALLE VILLANUEVA DE ALGAIDAS, 14 ",POINT (369978.80387597 4061070.60019786),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da6,65940,APARCABICIS_096,A la altura de la Plaza Aparejador Federico Bermudez,"CALLE INGENIERO DE LA TORRE ACOSTA, 9 ",POINT (371442.252356292 4064886.43794736),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da7,65968,APARCABICIS_119,Junto a Colegio San José.,"CALLE VIRGEN DE FLORES, 23 ",POINT (371125.146855634 4064834.34125484),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da8,65882,APARCABICIS_336,C/ CORREGIDOR NICOLAS ISIDRO - ESQ. ALMOGIA,"CALLE CORREGIDOR NICOLÁS ISIDRO, 16 ",POINT (370196.999623012 4064232.0005862),,,,,,MUNICIPAL,No,No,5,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2da9,66013,APARCABICIS_170,Esquina Cl. Navarro Ledesma,"CALLE ALICIA ALONSO, 2 ",POINT (367227.746232252 4065144.60628475),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2daa,65944,APARCABICIS_106,Esquina con c/ Obispo Ángel Herrera Oria,"CALLE INGENIERO DE LA TORRE ACOSTA, 4 ",POINT (371657.323535331 4064593.11008459),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dab,65960,APARCABICIS_145,Esquina con c/ Conde Lucanor,"CALLE WILKINSON, 46 ",POINT (369502.552051744 4059167.29826677),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dac,65893,APARCABICIS_002,Esquina con Cl. Escultor Palma Burgos,"CALLE ESCULTOR PALMA BURGOS, 3 ",POINT (371601.945067229 4064415.48703209),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dad,66118,APARCABICIS_320,Esq. C/ Huerta del Obispo,"CALLE HUERTA DEL OBISPO, 10 ",POINT (372491.774418261 4064705.17759747),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dae,66101,APARCABICIS_258,,"CALLE BOLIVIA, 63 ",POINT (376957.340333701 4064878.30376977),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2daf,66067,APARCABICIS_274,A la altura del  número 11,"CALLE DOCTOR GÁLVEZ MOLL, 11 ",POINT (372502.598952851 4066901.6898716),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db0,66052,APARCABICIS_260,Esquina Av. Cervantes,"AVENIDA DE CERVANTES, 2 ",POINT (373530.395999147 4064719.00077826),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db1,65979,APARCABICIS_191,Frente al Ayuntamiento.,"AVENIDA DE CERVANTES, 4 ",POINT (373649.024136046 4064749.20516785),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db2,66120,APARCABICIS_322,Esq. Calle Cervantes con Plaza de la Malagueta,"CALLE CERVANTES, 15 ",POINT (374079.447644797 4064594.06007974),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db3,66002,APARCABICIS_169,Junto a Colegio Rafael Alberti.,"CALLE DEL MARQUÉS DE MANTUA, 17 ",POINT (373676.00819719 4068092.98604193),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db4,65984,APARCABICIS_198,Esquina Av. Manuel Agustín Heredia.,"CALLE TOMÁS HEREDIA, 25 ",POINT (372955.000409924 4064193.00001731),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db5,65899,APARCABICIS_035,Paseo Marítimo frente a nº23,"PASEO MARÍTIMO CIUDAD DE MELILLA, 23 ",POINT (374009.719224612 4064487.45366358),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db6,65990,APARCABICIS_210,Avenida de la Rosaleda.,"AVENIDA DE LA ROSALEDA, 19 ",POINT (372701.867121759 4065265.23908667),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db7,65991,APARCABICIS_222,Esquina c/ Mármoles.,"CALLE PESO DE LA HARINA, 25 ",POINT (372212.437890527 4064916.789503),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db8,74269,APARCABICIS_590,Calle Alonso Cano esquina con Arroyo de los Angeles,"CALLE ALONSO CANO, 15 ",POINT (372376.461000716 4065612.97336869),,,,,,MUNICIPAL,No,No,3,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2db9,66030,APARCABICIS_226,Esq. con Cl. Luis Braille,"CALLE MARTÍNEZ MALDONADO, 43 ",POINT (371851.185270654 4064927.96294624),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dba,66014,APARCABICIS_235,Esquina con Cl. Barrera de la Trinidad.,"PLAZA BAILÉN, 12 ",POINT (372158.685111511 4065211.20008795),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dbb,65887,APARCABICIS_339,,"CALLE CARRETERÍA, 30 ",POINT (372797.999947964 4065025.00012696),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dbc,66031,APARCABICIS_236,,"CALLE COMPOSITOR LEHMBERG RUIZ, 21 ",POINT (371832.850962326 4064602.40339597),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dbd,66112,APARCABICIS_291,Esq. con Cl. Emilio de la Cerda,"CALLE ALTAMIRA, 44 ",POINT (371594.046238627 4062822.41380622),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dbe,65903,APARCABICIS_111,A la altura del Centro de Servicios Sociales,"CALLE FERNÁNDEZ FERMINA, 7 ",POINT (371309.201259037 4064068.95931498),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dbf,66106,APARCABICIS_243,A la altura del Instituto Nacional de la S.S.,"CALLE HUÉSCAR, 12 ",POINT (372036.152493599 4064603.40227874),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc0,65982,APARCABICIS_196,Esquina Cl. Álamos.,"CALLE ÁLAMOS, 30 ",POINT (373286.685881034 4065127.72944175),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc1,65888,APARCABICIS_340,,"CALLE CARRETERÍA, 68 ",POINT (372956.000378906 4065165.00046429),,,,12,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc2,65957,APARCABICIS_138,Frente a Cl. Concha Lagos,"CALLE CONCHA LAGOS, 2 ",POINT (370043.924226275 4060779.38499315),,,,,,MUNICIPAL,No,No,12,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc3,65909,APARCABICIS_114,Esquina con Av. José Ortega y Gasset,"CALLE MAX ESTRELLA, 14 ",POINT (369167.116081163 4063388.18746825),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc4,66075,APARCABICIS_285,Esquina calle Platino,"CALLE ESCRITORA MATILDE DEL NIDO, 2 ",POINT (367651.663301383 4066856.6704097),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc5,66114,APARCABICIS_290,Esq. con Cl. Corregidor Horacio Coppola,"CALLE MANUEL RIVADENEYRA, 8 ",POINT (368903.346265267 4065417.92602833),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc6,65913,APARCABICIS_009,Esquina con Plaza Religiosa Filipense Dolores Márquez,"CALLE CERROJO, 1 ",POINT (372614.465901523 4064758.44265861),,,,,,MUNICIPAL,No,No,10,1987
